item_id,item_name,price
002289,蒲島三角飯友(鰹魚)45g,63
034189,調理壽司皮三角32片,82
095445,正方豆皮16片240g,82
056722,三幸新瀉柿之種144g,114
067088,三幸燒海老煎餅米果76.8g,114
052935,三幸新潟仕選醬油米果127g,114
098484,火之屋小粒納豆4入,126
031084,丸美屋角落生物飯友50g,126
036013,Garofalo,118
092443,加拿大Fazio,128
077061,格力高POCKY巧克力棒9袋入,155
063449,格力高9袋入POCKY草莓棒122.4g,155
025503,日清蛋糕粉540g,196
038735,法國戴奧飛-波登經典馬賽皂300g,360
032353,普羅西歐特級初榨橄欖油500ml,880
039160,年輕金三角明星組,10500
047811,肌膚之鑰蜜粉N,3650
016582,柚子精萃潔顏油-450ml,3650
019328,香奈兒藍色男性香精-50ml,3650
048151,絕對慾望柔霧唇膏,1250
008914,迪奧癮誘粉漾潤唇膏-#007,1250
081874,絕對慾望奢華潤唇,1250
022453,絕對完美柔霧唇露,1250
089082,資生堂深層潔膚皂,1250
100707,迪奧超完美持久氣,2200
025767,迪奧逆時能量緊緻,2400
078371,超導全能修護組,5000
092709,資生堂紅妍超導循環肌活露-75ml,5000
051010,絕對完美黃金玫瑰修護露150ml,5000
003417,晶鑽修護小貴婦組,5000
030983,精萃再生花蜜氣墊,2700
048188,資生堂保濕潔膚皂,1125
071249,香奈兒CHANCE粉紅甜蜜香水-100ml,5980
035888,摩登Coco香水-100ml,5980
020056,No5典藏噴式香水-100ml,5980
031912,SB金咖哩(辛口)198g,132
039999,SB金咖哩(甘口)198g,132
030815,SB金咖哩(中辛)198g,132
095181,洗衣槽除菌劑550g,148
018648,丸金厚切年輪小蛋糕10入(藍色),164
047589,ORSON鱈魚起司條(乾杯)145g,164
102585,蘇格蘭梅凱草莓果醬340g,164
066656,丸中特綿鮮奶油蛋糕306g,188
086789,富麗康海帶芽200g,244
067028,全酪煙燻乾酪120G,244
034032,義MNTV特級橄,448
014802,冰河保濕機能水250ml,800
058178,ALLIE EX UV高效防曬水凝乳N,850
106195,摩洛哥深層護髮精油75ml,850
079260,持色奶凍腮紅,1050
089485,迪奧積雪草修護霜,1700
028068,超顯白水光玫瑰乳,1700
091978,香奈兒奢華金燦洗卸精萃150ml,3400
024804,靈芝光潤水精組,3400
022372,花漾迪奧淡香水-50ml,3400
007369,年輕肌密無敵霜,3980
004084,全效抗痕 緊顏白,6800
105031,無極限持久定妝噴霧,1100
093356,Pro極速淨膚精華,4500
069303,時尚焦點小眼影,750
074510,超持妝六色遮瑕盤,1500
060734,香奈兒輕盈完美蜜粉-#20 自然,2100
047171,迪奧極效賦活精萃,4200
017328,IDOLE唯我香,3150
075645,SK-II 青春露 330ml,7182
028188,三幸越後醬油米果96g,74
057796,三幸越後旨鹽米果96g,74
015988,三幸越後醬油米果95g,74
050407,太和殿麻辣拌麵155g,78
086637,好麗友好多魚餅乾(海苔)90g,78
091479,格力高極細POCKY棒73g,78
051441,不倒翁Q拉麵110g*5,94
030879,海底撈番茄牛肉冬粉128g,94
097946,Ora2 me微觸感牙刷超軟毛,98
012351,日清咖哩杯麵85g,98
081339,三幸雪宿(沙拉)160.8g,114
101392,三幸丸大豆黑豆仙貝137.5g,114
024241,北日本天然酵母餅147.2g,114
054032,森永德用蛋糕粉600g,196
037506,1號護唇膏15ML,330
102707,1號護唇膏-苺果香,330
025511,1號護唇膏-薄荷香,330
036768,特潤霧光唇膏,820
057631,眉筆(H9)-暗灰05,820
075792,眉筆(H9)-橡棕 06,820
054989,眉筆(H9)-胡桃棕 07,820
101972,超持妝立體彩妝盤,1650
058586,粉持久持妝潤色妝,1650
091561,粉持久超級水粉餅,560
004361,白金級光潤潔面乳,2500
085539,格力高9袋入蕃茄百利滋棒,155
044762,AGF BL深煎咖啡歐蕾30入,394
064291,AGF BL紅茶歐蕾30入,394
040963,卸眼露,380
075772,超濃密定色染眉膠,880
063014,深夜奇肌修護眼霜15ML,1450
052928,冰河10.5角鯊烷保濕修護面膜-100ml,1450
010659,靈芝好友分享組,1450
007547,明星修護組,1450
077556,金盞花人氣明星組 (金水+DLX),1450
029552,金盞花植物精華化妝水-250ml,1450
103422,SK-II PITERA?精華體驗組,2900
021876,SKII PIT,2900
052447,SK-II PI,2900
100039,SK-II 肌活能量活膚霜-100g,5800
083192,無敵金三角,2390
006730,激光極淨白淡斑精華-100ml,5500
097328,展岳瓷器均一特價299元,299
062053,雀巢金牌咖啡香醇120G,340
023649,雀巢金牌咖啡特濃120G,340
089686,超細緻眉型筆,780
100637,隱形控油蜜粉餅,950
071055,淨白肌密洗面乳,950
050768,終擊油光男性清爽潔面膠 200ml,950
056955,搶眼造型眉筆,950
047411,迪奧搶眼造型眉筆,950
020910,KIEHL’S 超能左型C撫紋亮眼精華,1900
063692,金盞花精萃亮采水凝霜-100ML,2650
048518,金盞花淨緻組,2650
072088,香奈兒3.5-DA醇萃緊緻亮眼霜15ml,3290
082922,超未來肌因賦活露-115ml,7350
